Product,Name,Type_HS2,Group_Section,first_target_ECI,growth_at_target,RCA_2022,RelativeRelatedness,PCI_2032,Effort,Added_volume_USD
8460,Metal Finishing Machines,"Machinery, mechanical appliances, & parts",Machines,1.821,2.609,0.06,-0.465,1.423,1.609,292732440.91963035
2930,Organo-Sulfur Compounds,Organic chemicals,Chemical Products,1.821,2.609,0.09,-1.335,1.391,1.61,635541120.7782798
8429,Large Construction Vehicles,"Machinery, mechanical appliances, & parts",Machines,1.821,2.609,0.01,-0.201,1.446,1.684,4001029222.0450006
2843,Precious Metal Compounds,Inorganic chemicals,Chemical Products,1.821,2.609,0.048,-1.717,1.476,1.713,863723167.589966
7105,Precious Stone Dust,"Precious stones, metals, & pearls",Precious Metals,1.821,2.609,0.003,-1.018,1.494,1.749,35558343.73494205
6506,Other Headwear,Headgear,Footwear and Headwear,1.871,2.661,0.513,-0.37,0.97,0.86,239145694.13608554
8509,Other Domestic Electric Housewares,Electrical machinery and electronics,Machines,1.871,2.661,0.455,0.948,0.988,0.873,1599240276.3456042
8482,Ball Bearings,"Machinery, mechanical appliances, & parts",Machines,1.871,2.661,0.284,-0.02,1.152,1.197,2047437532.056962
8542,Integrated Circuits,Electrical machinery and electronics,Machines,1.871,2.661,0.272,-0.993,1.198,1.275,38949597027.17367
3906,Acrylic Polymers,Plastics & articles thereof,Plastics and Rubbers,1.871,2.661,0.234,-0.519,1.209,1.31,1180842395.249598
5502,Artificial Filament Tow,Man-made staple fibres,Textiles,1.871,2.661,0.153,-1.451,1.329,1.506,142249382.9403288
8464,Stone Working Machines,"Machinery, mechanical appliances, & parts",Machines,1.871,2.661,0.042,-0.616,1.388,1.652,208968971.83024648
2842,Other Inorganic Acids Salts,Inorganic chemicals,Chemical Products,1.871,2.661,0.026,-0.347,1.4,1.664,117572463.41925535
7222,Other Stainless Steel Bars,Iron & steel,Metals,1.871,2.661,0.044,-1.047,1.394,1.675,511296052.61065865
7225,Flat Flat-Rolled Steel,Iron & steel,Metals,1.871,2.661,0.02,-0.637,1.419,1.693,2602419198.6722
2907,Phenols,Organic chemicals,Chemical Products,1.871,2.661,0.023,-1.049,1.437,1.715,497956808.04036885
2925,Carboxyimide Compounds,Organic chemicals,Chemical Products,1.871,2.661,0.028,-1.868,1.462,1.758,159307398.1872572
7221,Hot-Rolled Stainless Steel Bars,Iron & steel,Metals,1.871,2.661,0.001,-1.634,1.446,1.794,150784016.71459985
5005,Silk Waste Yarn,Silk,Textiles,1.871,2.661,0.0,-1.931,1.429,1.816,7425788.894333147
3812,Prepared Rubber Accelerators,Chemical products n.e.s.,Chemical Products,1.921,2.713,0.52,-1.137,0.98,0.893,261208942.1055848
7419,Other Copper Products,Copper articles,Metals,1.921,2.713,0.407,0.585,0.982,0.967,159299563.34103063
9508,Fairground Amusements,"Toys, games, & sports",Miscellaneous,1.921,2.713,0.238,1.013,1.104,1.21,89841287.49485368
8465,Woodworking machines,"Machinery, mechanical appliances, & parts",Machines,1.921,2.713,0.184,-0.252,1.144,1.377,560560680.1272755
9114,Other Clocks and Watches,"Clocks, watches, & parts",Instruments,1.921,2.713,0.104,-1.703,1.289,1.61,122568001.02542083
9002,Mirrors and Lenses,"Optical, photo, & film equipment; medical instruments",Instruments,1.921,2.713,0.061,-0.937,1.299,1.636,906032133.683664
8440,Book-binding Machines,"Machinery, mechanical appliances, & parts",Machines,1.921,2.713,0.054,-0.856,1.268,1.645,63509101.72490423
8540,Cathode Tubes,Electrical machinery and electronics,Machines,1.921,2.713,0.036,-0.45,1.303,1.651,136013529.0844925
2936,Vitamins,Organic chemicals,Chemical Products,1.921,2.713,0.078,-1.72,1.286,1.656,748136437.0752398
8455,Metal-Rolling Mills,"Machinery, mechanical appliances, & parts",Machines,1.921,2.713,0.033,-0.486,1.292,1.659,383991150.585525
2929,Other Nitrogen Compounds,Organic chemicals,Chemical Products,1.921,2.713,0.021,-0.687,1.319,1.693,479357575.6814529
8448,Knitting Machine Accessories,"Machinery, mechanical appliances, & parts",Machines,1.921,2.713,0.011,-1.068,1.377,1.738,385236410.6903852
2812,Halides,Inorganic chemicals,Chemical Products,1.921,2.713,0.005,-1.556,1.347,1.781,51081183.238316424
2924,Carboxyamide Compounds,Organic chemicals,Chemical Products,1.921,2.713,0.022,-2.268,1.376,1.797,744914440.6861706
9110,Incomplete Movement Sets,"Clocks, watches, & parts",Instruments,1.921,2.713,0.001,-1.81,1.403,1.807,28644039.149672177
2935,Sulfonamides,Organic chemicals,Chemical Products,1.921,2.713,0.005,-2.081,1.37,1.816,862831603.6967987
3407,Pastes and Waxes,"Soap, cleaners, candles, dental, modelling pastes",Chemical Products,1.971,2.765,0.571,-0.635,0.886,0.788,59396007.25869658
8803,"Aircraft parts (gliders, balloons, and powered aircraft)",Aircraft and Spacecraft,Transportation,1.971,2.765,0.55,-0.16,0.887,0.793,3569532092.0284934
4005,Compounded Unvulcanised Rubber,Rubber & articles thereof,Plastics and Rubbers,1.971,2.765,0.363,1.392,1.008,0.99,326295624.07659787
3912,Cellulose,Plastics & articles thereof,Plastics and Rubbers,1.971,2.765,0.419,-0.229,0.928,0.995,349881300.0234518
8417,Industrial Furnaces,"Machinery, mechanical appliances, & parts",Machines,1.971,2.765,0.317,0.706,1.022,1.1,275033720.0292774
8505,Electromagnets,Electrical machinery and electronics,Machines,1.971,2.765,0.352,-0.738,0.963,1.13,640102319.7027882
8404,Boiler Plants,"Machinery, mechanical appliances, & parts",Machines,1.971,2.765,0.272,-0.054,1.037,1.218,99574036.60113773
8104,Magnesium,Cermet articles,Metals,1.971,2.765,0.206,1.215,1.02,1.252,155924838.23118004
7611,Large Aluminium Containers,Aluminum articles,Metals,1.971,2.765,0.195,0.413,1.017,1.318,16522155.629570317
2932,Oxygen Heterocyclic Compounds,Organic chemicals,Chemical Products,1.971,2.765,0.247,-1.499,1.11,1.349,646318975.1084771
2921,Amine Compounds,Organic chemicals,Chemical Products,1.971,2.765,0.157,-0.606,1.122,1.445,756797437.4223809
2937,Hormones,Organic chemicals,Chemical Products,1.971,2.765,0.142,-1.354,1.19,1.518,1466889511.4820337
4902,Newspapers,"Books, newspapers, & other prints",Paper Goods,1.971,2.765,0.043,0.672,1.198,1.566,204837557.28327334
9011,Microscopes,"Optical, photo, & film equipment; medical instruments",Instruments,1.971,2.765,0.049,0.019,1.155,1.597,219564267.29360262
8441,Other Paper Machinery,"Machinery, mechanical appliances, & parts",Machines,1.971,2.765,0.054,-0.367,1.149,1.612,579730612.9561714
8459,Drilling Machines,"Machinery, mechanical appliances, & parts",Machines,1.971,2.765,0.036,-0.058,1.097,1.626,214301016.07792255
3704,Undeveloped Exposed Photographic Material,Photo & movie goods,Chemical Products,1.971,2.765,0.011,0.252,1.218,1.651,2569990.6230995515
2940,Chemically Pure Sugars,Organic chemicals,Chemical Products,1.971,2.765,0.028,-0.88,1.255,1.693,105387153.88144071
5905,Textile Wall Coverings,"Coated, covered, & laminated fabrics for industrial use",Textiles,1.971,2.765,0.004,-0.554,1.152,1.716,9407510.187842183
4704,Sulfite Chemical Woodpulp,Wood pulp & paper scrap,Paper Goods,1.971,2.765,0.0,-0.886,1.227,1.746,41992816.06625847
