Product,Name,Type_HS2,Group_Section,in_baseline,in_extended,status,RCA_2022,PCI_2032,Effort,RelativeRelatedness,Added_vol_baseline,Added_vol_extended
7226,Flat-Rolled Iron,Iron & steel,Metals,True,True,both,0.107,1.586,1.468,0.424,204711174.64616963,276362567.7235289
3702,Photographic Film,Photo & movie goods,Chemical Products,True,True,both,0.17,1.724,1.475,-1.43,77224700.83463301,104989764.53690153
3707,Photographic Chemicals,Photo & movie goods,Chemical Products,True,True,both,0.106,1.879,1.534,-0.605,295948593.20849836,399311402.43966657
8477,Rubberworking Machinery,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.092,1.67,1.544,-0.367,1468899376.1909733,1978706365.9839568
8420,Rolling Machines,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.115,1.863,1.555,-1.186,75210283.80387115,101562277.62182267
9024,Tensile Testing Machines,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.088,1.576,1.58,-0.819,130576079.34857577,175786545.93999165
3403,Lubricating Products,"Soap, cleaners, candles, dental, modelling pastes",Chemical Products,True,True,both,0.081,1.661,1.628,-1.357,568540977.84927,764597389.0530688
9010,Photo Lab Equipment,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.083,2.072,1.632,-1.474,1724640322.7044313,2319764629.7873597
3701,Photographic Plates,Photo & movie goods,Chemical Products,True,True,both,0.082,1.58,1.633,-1.481,239343715.74777222,321926162.26873904
8458,Metal Lathes,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.04,1.543,1.655,-0.636,348224785.9777783,466270624.5675527
3910,Silicone,Plastics & articles thereof,Plastics and Rubbers,True,True,both,0.053,1.771,1.67,-1.236,483221143.3050428,647875476.0386147
2910,Epoxides,Organic chemicals,Chemical Products,True,True,both,0.048,1.607,1.686,-1.326,229878401.57274806,308027363.7979442
3822,Laboratory Reagents,Chemical products n.e.s.,Chemical Products,True,True,both,0.031,1.682,1.694,-0.971,1715036967.2951126,2293966151.4505863
8457,Metalworking Transfer Machines,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.027,1.922,1.72,-1.246,489549321.79973716,654517974.7076069
3914,Polymer Ion-Exchangers,Plastics & articles thereof,Plastics and Rubbers,True,True,both,0.026,1.758,1.723,-1.261,123378150.76846914,164934120.77178094
9012,Non-optical Microscopes,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.006,2.035,1.723,-0.703,182929830.97456375,244047606.97506687
2919,Phosphoric Esters and Salts,Organic chemicals,Chemical Products,True,True,both,0.023,1.74,1.735,-1.373,70833363.93549322,94665205.64867371
3705,Developed Exposed Photographic Material,Photo & movie goods,Chemical Products,True,True,both,0.015,2.344,1.739,-1.204,78167900.07403971,104380773.7981364
9016,Balances,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.011,1.596,1.739,-1.078,23581004.3638586,31474907.63901911
4904,Sheet Music,"Books, newspapers, & other prints",Paper Goods,True,True,both,0.003,1.638,1.747,-0.984,5287848.618991265,7052425.016830186
7506,Nickel Sheets,Nickel articles,Metals,True,True,both,0.009,1.7,1.763,-1.377,96486427.49788101,128756693.84175824
9108,Watch Movements,"Clocks, watches, & parts",Instruments,True,True,both,0.016,1.756,1.773,-1.722,59935814.66646724,80036046.69246894
8444,Artificial Textile Machinery,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.006,1.954,1.789,-1.677,68548220.58011076,91444657.5903605
3818,Disc Chemicals for Electronics,Chemical products n.e.s.,Chemical Products,True,True,both,0.001,1.771,1.79,-1.58,790272792.0308684,1053783009.9238253
3207,Prepared Pigments,"Paints, dyes, & varnishes",Chemical Products,False,True,extended only,0.765,0.799,0.522,-0.909,0.0,190968620.70380604
8476,Vending Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.646,0.772,0.571,1.325,0.0,67737803.97270668
4812,Paper Pulp Filter Blocks,Paper articles,Paper Goods,False,True,extended only,0.65,0.903,0.621,0.305,0.0,9660360.75503435
8412,Other Engines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.545,0.837,0.724,1.201,0.0,1146229270.551404
8425,Pulley Systems,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.57,0.966,0.751,0.036,0.0,359210887.23449576
7229,Steel Wire,Iron & steel,Metals,False,True,extended only,0.565,0.833,0.761,0.015,0.0,136322398.77814984
3407,Pastes and Waxes,"Soap, cleaners, candles, dental, modelling pastes",Chemical Products,False,True,extended only,0.571,0.886,0.788,-0.635,0.0,59396007.25869658
8803,"Aircraft parts (gliders, balloons, and powered aircraft)",Aircraft and Spacecraft,Transportation,False,True,extended only,0.55,0.887,0.793,-0.16,0.0,3569532092.0284934
6506,Other Headwear,Headgear,Footwear and Headwear,False,True,extended only,0.513,0.97,0.86,-0.37,0.0,239145694.13608554
8509,Other Domestic Electric Housewares,Electrical machinery and electronics,Machines,False,True,extended only,0.455,0.988,0.873,0.948,0.0,1599240276.3456042
3812,Prepared Rubber Accelerators,Chemical products n.e.s.,Chemical Products,False,True,extended only,0.52,0.98,0.893,-1.137,0.0,261208942.1055848
6806,Rock Wool,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,False,True,extended only,0.406,0.806,0.933,1.209,0.0,267628064.27603886
8519,Sound Recording Equipment,Electrical machinery and electronics,Machines,False,True,extended only,0.446,0.811,0.95,-0.168,0.0,108536453.8464603
2823,Titanium Oxides,Inorganic chemicals,Chemical Products,False,True,extended only,0.465,0.843,0.963,-0.907,0.0,48223871.01692285
3506,Glues,"Glues, starches, & albuminoid products",Chemical Products,False,True,extended only,0.408,0.857,0.967,0.567,0.0,681277494.1423739
7419,Other Copper Products,Copper articles,Metals,False,True,extended only,0.407,0.982,0.967,0.585,0.0,159299563.34103063
4008,Rubber Sheets,Rubber & articles thereof,Plastics and Rubbers,False,True,extended only,0.374,0.883,0.987,1.139,0.0,249732965.06990144
4005,Compounded Unvulcanised Rubber,Rubber & articles thereof,Plastics and Rubbers,False,True,extended only,0.363,1.008,0.99,1.392,0.0,326295624.07659787
3912,Cellulose,Plastics & articles thereof,Plastics and Rubbers,False,True,extended only,0.419,0.928,0.995,-0.229,0.0,349881300.0234518
9304,"Spring, Air, and Gas Guns",Weapons,Weapons,False,True,extended only,0.389,0.844,0.999,0.525,0.0,49610078.595342904
2918,Carboxylic Acids,Organic chemicals,Chemical Products,False,True,extended only,0.387,0.932,1.081,-0.831,0.0,583617657.6647335
8417,Industrial Furnaces,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.317,1.022,1.1,0.706,0.0,275033720.0292774
9209,Musical Instrument Parts,Musical instruments,Instruments,False,True,extended only,0.329,1.162,1.114,0.147,0.0,94379937.22072054
8505,Electromagnets,Electrical machinery and electronics,Machines,False,True,extended only,0.352,0.963,1.13,-0.738,0.0,640102319.7027882
8539,Electric Filament,Electrical machinery and electronics,Machines,False,True,extended only,0.266,0.872,1.172,0.897,0.0,466109083.63339955
3813,Fire Extinguishers Preparations,Chemical products n.e.s.,Chemical Products,False,True,extended only,0.319,0.883,1.185,-0.762,0.0,17666566.32621789
8482,Ball Bearings,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.284,1.152,1.197,-0.02,0.0,2047437532.056962
5910,Conveyor Belt Textiles,"Coated, covered, & laminated fabrics for industrial use",Textiles,False,True,extended only,0.3,1.205,1.207,-0.622,0.0,40449587.250540085
9508,Fairground Amusements,"Toys, games, & sports",Miscellaneous,False,True,extended only,0.238,1.104,1.21,1.013,0.0,89841287.49485368
4816,Other Carbon Paper,Paper articles,Paper Goods,False,True,extended only,0.3,0.866,1.218,-0.798,0.0,33035908.823535595
8404,Boiler Plants,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.272,1.037,1.218,-0.054,0.0,99574036.60113773
8475,Glass Working Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.282,1.224,1.244,-0.735,0.0,304377817.7027329
2941,Antibiotics,Organic chemicals,Chemical Products,False,True,extended only,0.261,0.946,1.252,-0.3,0.0,725078344.0261003
8104,Magnesium,Cermet articles,Metals,False,True,extended only,0.206,1.02,1.252,1.215,0.0,155924838.23118004
3507,Enzymes,"Glues, starches, & albuminoid products",Chemical Products,False,True,extended only,0.274,1.239,1.266,-0.883,0.0,435847968.2746723
8542,Integrated Circuits,Electrical machinery and electronics,Machines,False,True,extended only,0.272,1.198,1.275,-0.993,0.0,38949597027.17367
5906,Rubber Textile Fabric,"Coated, covered, & laminated fabrics for industrial use",Textiles,False,True,extended only,0.188,0.907,1.299,0.928,0.0,102544905.82897326
3906,Acrylic Polymers,Plastics & articles thereof,Plastics and Rubbers,False,True,extended only,0.234,1.209,1.31,-0.519,0.0,1180842395.249598
3212,Nonaqueous Pigments,"Paints, dyes, & varnishes",Chemical Products,False,True,extended only,0.198,0.981,1.313,0.417,0.0,143049590.2001389
7611,Large Aluminium Containers,Aluminum articles,Metals,False,True,extended only,0.195,1.017,1.318,0.413,0.0,16522155.629570317
2932,Oxygen Heterocyclic Compounds,Organic chemicals,Chemical Products,False,True,extended only,0.247,1.11,1.349,-1.499,0.0,646318975.1084771
8465,Woodworking machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.184,1.144,1.377,-0.252,0.0,560560680.1272755
7505,Nickel Bars,Nickel articles,Metals,False,True,extended only,0.22,1.356,1.384,-1.333,0.0,218615605.6763626
7507,Nickel Pipes,Nickel articles,Metals,False,True,extended only,0.205,1.28,1.384,-0.932,0.0,77854930.63516408
3911,Petroleum Resins,Plastics & articles thereof,Plastics and Rubbers,False,True,extended only,0.192,1.304,1.41,-1.005,0.0,479157067.43684316
2921,Amine Compounds,Organic chemicals,Chemical Products,False,True,extended only,0.157,1.122,1.445,-0.606,0.0,756797437.4223809
3004,Packaged Medicaments,Pharmaceutical products,Chemical Products,False,True,extended only,0.121,0.948,1.445,0.411,0.0,29450620039.116096
