Product,Name,Type_HS2,Group_Section,first_target_ECI,growth_at_target,RCA_2022,RelativeRelatedness,PCI_2032,Effort,Added_volume_USD
7226,Flat-Rolled Iron,Iron & steel,Metals,1.621,3.4,0.107,0.424,1.586,1.468,204711174.64616963
8477,Rubberworking Machinery,"Machinery, mechanical appliances, & parts",Machines,1.621,3.4,0.092,-0.367,1.67,1.544,1468899376.1909733
3910,Silicone,Plastics & articles thereof,Plastics and Rubbers,1.621,3.4,0.053,-1.236,1.771,1.67,483221143.3050428
3914,Polymer Ion-Exchangers,Plastics & articles thereof,Plastics and Rubbers,1.621,3.4,0.026,-1.261,1.758,1.723,123378150.76846914
9108,Watch Movements,"Clocks, watches, & parts",Instruments,1.621,3.4,0.016,-1.722,1.756,1.773,59935814.66646724
8521,Video Recording Equipment,Electrical machinery and electronics,Machines,1.671,3.449,0.579,0.068,0.977,0.737,1374032041.7011487
8473,Office Machine Parts,"Machinery, mechanical appliances, & parts",Machines,1.671,3.449,0.602,-0.598,0.972,0.741,8314103537.949214
2914,Ketones and Quinones,Organic chemicals,Chemical Products,1.671,3.449,0.372,-0.685,1.286,1.095,286372765.35757667
8514,Electric Furnaces,Electrical machinery and electronics,Machines,1.671,3.449,0.325,-0.18,1.292,1.14,235262882.96219373
9024,Tensile Testing Machines,"Optical, photo, & film equipment; medical instruments",Instruments,1.671,3.449,0.088,-0.819,1.576,1.58,130576079.34857577
3403,Lubricating Products,"Soap, cleaners, candles, dental, modelling pastes",Chemical Products,1.671,3.449,0.081,-1.357,1.661,1.628,568540977.84927
3822,Laboratory Reagents,Chemical products n.e.s.,Chemical Products,1.671,3.449,0.031,-0.971,1.682,1.694,1715036967.2951126
2919,Phosphoric Esters and Salts,Organic chemicals,Chemical Products,1.671,3.449,0.023,-1.373,1.74,1.735,70833363.93549322
3818,Disc Chemicals for Electronics,Chemical products n.e.s.,Chemical Products,1.671,3.449,0.001,-1.58,1.771,1.79,790272792.0308684
2928,Hydrazine or Hydroxylamine Derivatives,Organic chemicals,Chemical Products,1.721,3.497,0.266,-2.064,1.36,1.352,77871366.7031443
8462,Forging Machines,"Machinery, mechanical appliances, & parts",Machines,1.721,3.497,0.14,-0.44,1.441,1.464,480138951.46699935
8439,Papermaking Machines,"Machinery, mechanical appliances, & parts",Machines,1.721,3.497,0.068,-0.425,1.491,1.59,0.0
3701,Photographic Plates,Photo & movie goods,Chemical Products,1.721,3.497,0.082,-1.481,1.58,1.633,239343715.74777222
2910,Epoxides,Organic chemicals,Chemical Products,1.721,3.497,0.048,-1.326,1.607,1.686,229878401.57274806
9016,Balances,"Optical, photo, & film equipment; medical instruments",Instruments,1.721,3.497,0.011,-1.078,1.596,1.739,23581004.3638586
4904,Sheet Music,"Books, newspapers, & other prints",Paper Goods,1.721,3.497,0.003,-0.984,1.638,1.747,5287848.618991265
7506,Nickel Sheets,Nickel articles,Metals,1.721,3.497,0.009,-1.377,1.7,1.763,96486427.49788101
2934,Nucleic Acids,Organic chemicals,Chemical Products,1.724,3.5,0.215,-1.839,1.388,1.423,1309887702.8323696
8458,Metal Lathes,"Machinery, mechanical appliances, & parts",Machines,1.724,3.5,0.04,-0.636,1.543,1.655,348224785.9777783
