Product,Name,Type_HS2,Group_Section,in_baseline,in_extended,status,RCA_2022,PCI_2032,Effort,RelativeRelatedness,Added_vol_baseline,Added_vol_extended
2903,Halogenated Hydrocarbons,Organic chemicals,Chemical Products,False,True,extended only,0.56,0.907,0.7,0.409,0.0,359166623.40513766
9616,Scent Sprays,Misc. manufactures,Miscellaneous,False,True,extended only,0.617,0.664,0.714,-1.397,0.0,55121252.95721052
8538,Electrical Power Accessories,Electrical machinery and electronics,Machines,False,True,extended only,0.531,0.987,0.718,0.893,0.0,1115158631.581522
4806,Vegetable Parchment,Paper articles,Paper Goods,False,True,extended only,0.636,1.401,0.73,-2.161,0.0,66150454.62207913
3812,Prepared Rubber Accelerators,Chemical products n.e.s.,Chemical Products,False,True,extended only,0.516,0.98,0.761,0.508,0.0,150953664.97621864
2842,Other Inorganic Acids Salts,Inorganic chemicals,Chemical Products,False,True,extended only,0.491,1.4,0.764,1.146,0.0,46583802.64939391
8468,Soldering and Welding Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.512,0.784,0.77,0.428,0.0,30837028.47100094
8467,Motor-working Tools,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.509,1.209,0.797,0.038,0.0,271112120.73237914
3919,Self-adhesive Plastics,Plastics & articles thereof,Plastics and Rubbers,False,True,extended only,0.495,1.346,0.798,0.415,0.0,720237278.8994932
3504,Peptones,"Glues, starches, & albuminoid products",Chemical Products,False,True,extended only,0.575,0.723,0.8,-1.811,0.0,128812006.12068473
9026,Gas and Liquid Flow Measuring Instruments,"Optical, photo, & film equipment; medical instruments",Instruments,False,True,extended only,0.531,1.243,0.803,-0.679,0.0,760462855.0315965
8503,Electric Motor Parts,Electrical machinery and electronics,Machines,False,True,extended only,0.484,0.785,0.81,0.464,0.0,674823184.5972986
8211,Knives,Tools & cutlery,Metals,False,True,extended only,0.512,0.809,0.818,-0.445,0.0,105453578.17031649
9611,Rubber Stamps,Misc. manufactures,Miscellaneous,False,True,extended only,0.49,0.936,0.838,-0.198,0.0,9516576.541861081
8483,Transmissions,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.477,1.383,0.852,-0.089,0.0,1997898273.817025
8701,Tractors,"Cars, tractors, trucks & parts thereof.",Transportation,False,True,extended only,0.48,1.079,0.863,-0.39,0.0,1906021263.3387284
3506,Glues,"Glues, starches, & albuminoid products",Chemical Products,False,True,extended only,0.429,0.857,0.875,0.814,0.0,409971196.4971935
9018,Medical Instruments,"Optical, photo, & film equipment; medical instruments",Instruments,False,True,extended only,0.465,0.893,0.879,-0.271,0.0,4824028353.323701
7003,Cast or Rolled Glass,Glass & glassware,Stone And Glass,False,True,extended only,0.395,0.844,0.88,1.684,0.0,92465610.6164685
8526,Navigation Equipment,Electrical machinery and electronics,Machines,False,True,extended only,0.433,1.14,0.884,0.53,0.0,671791222.1285185
7007,Safety Glass,Glass & glassware,Stone And Glass,False,True,extended only,0.415,0.78,0.9,0.752,0.0,375025160.22722346
9031,Other Measuring Instruments,"Optical, photo, & film equipment; medical instruments",Instruments,False,True,extended only,0.396,1.565,0.903,1.222,0.0,1590814039.7943003
7002,Glass Balls,Glass & glassware,Stone And Glass,False,True,extended only,0.425,0.843,0.905,0.387,0.0,48704187.70224306
8539,Electric Filament,Electrical machinery and electronics,Machines,False,True,extended only,0.404,0.872,0.917,0.733,0.0,258074765.82359266
8422,Washing and Bottling Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.452,0.997,0.926,-0.761,0.0,1142800079.6604688
8101,Tungsten,Cermet articles,Metals,False,True,extended only,0.438,1.588,0.928,-0.394,0.0,39962861.23549661
7219,Large Flat-Rolled Stainless Steel,Iron & steel,Metals,False,True,extended only,0.438,0.792,0.93,-0.421,0.0,1108012848.518614
8466,Metalworking Machine Parts,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.426,1.658,0.935,-0.184,0.0,599618702.9514909
8707,Vehicle Bodies (including cabs) for the motor vehicles (8701 to 8705),"Cars, tractors, trucks & parts thereof.",Transportation,False,True,extended only,0.42,0.91,0.939,-0.115,0.0,297475179.487772
8432,Soil Preparation Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.428,0.801,0.946,-0.432,0.0,342770096.6220453
8419,Other Heating Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.403,1.38,0.95,0.165,0.0,1515125220.7400768
8514,Electric Furnaces,Electrical machinery and electronics,Machines,False,True,extended only,0.419,1.292,0.952,-0.313,0.0,188781055.29748863
8477,Rubberworking Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.421,1.67,0.954,-0.381,0.0,938020593.041027
7415,Copper Fasteners,Copper articles,Metals,False,True,extended only,0.438,1.241,0.957,-0.904,0.0,42850004.27334837
3207,Prepared Pigments,"Paints, dyes, & varnishes",Chemical Products,False,True,extended only,0.392,0.799,0.968,0.146,0.0,158230940.433024
8412,Other Engines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.378,0.837,0.978,0.361,0.0,857921291.2549822
8208,Cutting Blades,Tools & cutlery,Metals,False,True,extended only,0.426,1.614,0.981,-1.028,0.0,115757698.31258704
7109,Gold Clad Metals,"Precious stones, metals, & pearls",Precious Metals,False,True,extended only,0.329,0.926,0.983,1.667,0.0,3622232.5196261057
6903,Refractory Ceramics,Ceramic products,Stone And Glass,False,True,extended only,0.385,0.915,0.984,0.061,0.0,78740172.41277806
7018,Glass Beads,Glass & glassware,Stone And Glass,False,True,extended only,0.394,0.933,0.988,-0.259,0.0,49892149.20316159
8426,Cranes,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.386,1.038,1.007,-0.379,0.0,502212801.6520599
8431,Excavation Machinery,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.354,1.214,1.01,0.468,0.0,2097099990.371525
8507,Electric Batteries,Electrical machinery and electronics,Machines,False,True,extended only,0.315,1.022,1.019,1.395,0.0,3130907479.3342357
3909,Amino-resins,Plastics & articles thereof,Plastics and Rubbers,False,True,extended only,0.336,0.971,1.025,0.693,0.0,680950261.6904764
3807,"Wood Tar, Oils and Pitch",Chemical products n.e.s.,Chemical Products,False,True,extended only,0.446,1.056,1.033,-2.469,0.0,5043962.435743141
8471,Computers,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.316,1.081,1.033,1.132,0.0,11381804467.807137
3816,Refractory Cements,Chemical products n.e.s.,Chemical Products,False,True,extended only,0.376,0.725,1.034,-0.564,0.0,91668136.2998382
7220,Flat-Rolled Stainless Steel,Iron & steel,Metals,False,True,extended only,0.342,1.397,1.04,0.252,0.0,192721691.06171444
3704,Undeveloped Exposed Photographic Material,Photo & movie goods,Chemical Products,False,True,extended only,0.311,1.218,1.043,1.081,0.0,1201522.2771505076
5903,Plastic Coated Textile Fabric,"Coated, covered, & laminated fabrics for industrial use",Textiles,False,True,extended only,0.312,1.525,1.054,0.859,0.0,431165233.9560987
3601,Propellant Powders,"Explosives, matches, & fireworks",Chemical Products,False,True,extended only,0.397,1.097,1.068,-1.744,0.0,16122649.76448007
3403,Lubricating Products,"Soap, cleaners, candles, dental, modelling pastes",Chemical Products,False,True,extended only,0.362,1.661,1.089,-1.158,0.0,375151772.3297588
8510,Hair Trimmers,Electrical machinery and electronics,Machines,False,True,extended only,0.313,0.738,1.089,0.207,0.0,190583721.08539006
8447,Knitting Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.323,0.731,1.094,-0.157,0.0,88578296.94333209
7611,Large Aluminium Containers,Aluminum articles,Metals,False,True,extended only,0.326,1.017,1.096,-0.27,0.0,9413715.06496557
3212,Nonaqueous Pigments,"Paints, dyes, & varnishes",Chemical Products,False,True,extended only,0.304,0.981,1.098,0.305,0.0,81189675.80828515
9209,Musical Instrument Parts,Musical instruments,Instruments,False,True,extended only,0.281,1.162,1.099,0.944,0.0,58636080.37633459
8425,Pulley Systems,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.36,0.966,1.1,-1.3,0.0,282487562.87203985
8476,Vending Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.307,0.772,1.105,0.077,0.0,60418640.319116294
5907,Coated Textile Fabric,"Coated, covered, & laminated fabrics for industrial use",Textiles,False,True,extended only,0.344,0.724,1.113,-1.07,0.0,34254975.89087549
8209,Tool Plates,Tools & cutlery,Metals,False,True,extended only,0.321,1.992,1.117,-0.499,0.0,221287707.18285254
8304,Filing Cabinets,Miscellaneous metal products,Metals,False,True,extended only,0.364,0.714,1.123,-1.799,0.0,11941743.76383312
2851,Inorganic Compounds,Inorganic chemicals,Chemical Products,False,True,extended only,0.253,1.505,1.134,1.126,0.0,47170166.60443269
3913,Natural Polymers,Plastics & articles thereof,Plastics and Rubbers,False,True,extended only,0.331,0.795,1.146,-1.299,0.0,120566056.23713274
3813,Fire Extinguishers Preparations,Chemical products n.e.s.,Chemical Products,False,True,extended only,0.332,0.883,1.148,-1.365,0.0,11043502.99287667
9301,Military Weapons,Weapons,Weapons,False,True,extended only,0.27,0.999,1.15,0.35,0.0,55468548.108862996
8424,Liquid Dispersing Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.306,1.238,1.152,-0.709,0.0,900766443.7011068
8485,Boat Propellers,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.288,1.393,1.163,-0.406,0.0,395800384.6768308
8461,Metalworking Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.302,1.827,1.169,-0.892,0.0,84452483.52006517
8803,"Aircraft parts (gliders, balloons, and powered aircraft)",Aircraft and Spacecraft,Transportation,False,True,extended only,0.285,0.887,1.173,-0.479,0.0,2799046882.483986
3702,Photographic Film,Photo & movie goods,Chemical Products,False,True,extended only,0.196,1.724,1.179,1.96,0.0,55403951.43216003
8464,Stone Working Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.266,1.388,1.179,-0.033,0.0,105281413.31299402
8205,Other Hand Tools,Tools & cutlery,Metals,False,True,extended only,0.308,1.649,1.183,-1.278,0.0,297524098.55903405
8530,Traffic Signals,Electrical machinery and electronics,Machines,False,True,extended only,0.267,0.923,1.186,-0.205,0.0,100223772.56862502
7004,Blown Glass,Glass & glassware,Stone And Glass,False,True,extended only,0.228,1.026,1.202,0.621,0.0,25592955.597453225
