Code,Name,Type_HS2,Group_Section,Mcp,Added_vol,RCA_final,Relatedness_final,mar_ECI,PCI_future,RCA_start,Relatedness_start,Relative_relatedness_start,Effort_Ycp
6114,Other Knit Garments,Knitted clothing accesories,Textiles,0.0,0.0,0.31333956123982587,0.18530578194697184,-0.0,-1.233980070742382,0.30519173216136253,0.19576916443811826,0.9594644390947094,1.1053159107160502
6115,Knit Socks and Hosiery,Knitted clothing accesories,Textiles,0.0,0.0,0.35546804241971086,0.20464738319974823,-0.0,-0.769023664824405,0.3521358137015447,0.1992163340551928,1.148423882235929,1.020183340701383
6116,Knit Gloves,Knitted clothing accesories,Textiles,0.0,0.0,0.15893032372997776,0.16921254114632178,-0.0,-1.2771723779573902,0.15100940222536702,0.16809097499235032,-0.5577383231146028,1.4527166270959118
6117,Other Knit Clothing Accessories,Knitted clothing accesories,Textiles,0.0,0.0,0.19339308535072477,0.18355607883560432,-0.0,-1.3487669419636306,0.17902687057124922,0.17969054391915415,0.07810160603491718,1.365366826057691
6201,Non-Knit Men's Coats,Non-knitted clothing accesories,Textiles,0.0,0.0,0.22227778998707304,0.1939793951040504,-0.0,-1.0991344152029803,0.19281058268969664,0.19657469654357565,1.0036203452403372,1.286311130956367
6202,Non-Knit Women's Coats,Non-knitted clothing accesories,Textiles,0.0,0.0,0.1038185424629311,0.20066526380111047,-0.0,-0.9249221852373205,0.04938963917205063,0.19710467645001165,1.0326716305325214,1.5328280482226724
6203,Non-Knit Men's Suits,Non-knitted clothing accesories,Textiles,0.0,0.0,0.8274151248634822,0.1924203767981786,0.005705190370373938,-1.1980899777785268,1.0243532108574143,0.22255578324211645,-0.22557843969431532,0.09091057953706061
6204,Non-Knit Women's Suits,Non-knitted clothing accesories,Textiles,0.0,0.0,0.1874103401514755,0.18790952092341423,-0.0,-1.106927362982876,0.149106729979613,0.19773218512336657,1.0670690355502823,1.356312506676948
6205,Non-Knit Men's Shirts,Non-knitted clothing accesories,Textiles,0.0,0.0,0.4639560416695634,0.1860532179720392,-0.0,-1.2173049208417341,0.48917752862747405,0.19752326576186235,1.055616948592995,0.8153286157734603
6206,Non-Knit Women's Shirts,Non-knitted clothing accesories,Textiles,0.0,0.0,0.1259265912674826,0.18977439815119954,-0.0,-1.0940705008481102,0.0788720849180396,0.19452267011957552,0.891136825871424,1.4890174289157527
6207,Non-Knit Men's Undergarments,Non-knitted clothing accesories,Textiles,0.0,0.0,0.12573384444295793,0.17874173812781363,-0.0,-1.286350911422672,0.07835606275229637,0.194765946399777,0.9044722156383345,1.4891084874420408
6208,Non-Knit Women's Undergarments,Non-knitted clothing accesories,Textiles,0.0,0.0,0.09557632588985657,0.1806318608252554,-0.0,-1.2889841052180735,0.0414050279088481,0.195457965799049,0.9424058292562019,1.5528188328370294
6209,Non-Knit Babies' Garments,Non-knitted clothing accesories,Textiles,0.0,0.0,0.07707597373757852,0.17828937143410467,-0.0,-1.4257518338918926,0.019959565185574697,0.1948717656507801,0.910272785080616,1.593802294597673
6210,Felt or Coated Fabric Garments,Non-knitted clothing accesories,Textiles,0.0,0.0,0.46922049861190746,0.1817822483771823,-0.0,-1.3790078680984441,0.5108166793003811,0.1880587994435305,0.5368144283217239,0.8117185991004439
6211,Non-Knit Active Wear,Non-knitted clothing accesories,Textiles,0.0,0.0,0.8452362858572714,0.18872470928147406,-0.0,-1.24700619254583,0.9666251192668106,0.2010303891147233,1.247862805165199,0.12990700732559102
6212,Other Women's Undergarments,Non-knitted clothing accesories,Textiles,0.0,0.0,0.18531092738085464,0.19557003700476755,-0.0,-1.1381276845168942,0.14576674889400446,0.1983824920291628,1.1027161444658076,1.359866790275504
6213,Handkerchiefs,Non-knitted clothing accesories,Textiles,0.0,0.0,0.05470542239504099,0.1956929811515017,-0.0,-1.0349430944817357,0.015446953464211469,0.1746450462537628,-0.19847150614973422,1.6727035886806432
6214,Scarves,Non-knitted clothing accesories,Textiles,0.0,0.0,0.06231779906183916,0.19857653089753083,-0.0,-0.8917905227147701,0.033056192716018416,0.167172146558084,-0.6081046608837983,1.6666139344890079
6215,Neck Ties,Non-knitted clothing accesories,Textiles,0.0,0.0,0.03910952349007797,0.2148817773717648,0.0,0.20911273142758627,0.02777363201622809,0.14631216198405037,-1.751561904623657,1.7516684982931907
6216,Non-Knit Gloves,Non-knitted clothing accesories,Textiles,0.0,0.0,0.09982165698816771,0.1723067461552504,-0.0,-1.3096865126103991,0.07655732297516883,0.16934592660031214,-0.4889471166027251,1.5797166089769799
6217,Other Non-Knit Clothing Accessories,Non-knitted clothing accesories,Textiles,0.0,0.0,0.4139505484027929,0.19905661302879804,-0.0,-0.6990038323277689,0.438895630144958,0.18966732881263904,0.6249872911705776,0.9155856856718114
6301,Blankets,Used clothes & textile articles,Textiles,0.0,0.0,0.16734448720658163,0.1806601760442302,-0.0,-0.9339028644589398,0.1535176842082375,0.1744470318780033,-0.20932582732735608,1.426694274324889
6302,House Linens,Used clothes & textile articles,Textiles,0.0,0.0,0.16265601403194505,0.17583721142974046,-0.0,-1.362365872198185,0.13657856046001107,0.1835030624533385,0.28708795112705027,1.425285352673015
6303,Window Dressings,Used clothes & textile articles,Textiles,1.0,0.0,2.423584315034713,0.2403185997570615,0.00030069396617707556,-0.30424762214098633,3.163921369779394,0.2274587456028273,0.2538353501033738,-2.1267710300761453
6304,Bedspreads,Used clothes & textile articles,Textiles,0.0,0.0,0.38962904461654685,0.19975151314713957,-0.0,-0.8478267861475172,0.3939404920496585,0.19944220450099365,1.1608051568471882,0.9544266334370755
6305,Packing Bags,Used clothes & textile articles,Textiles,0.0,0.0,0.713727770053751,0.1861524047890413,-0.0,-1.7290276470907353,0.7902918244389208,0.2051988588109832,1.4763609065219834,0.3591040810379005
6306,"Awnings, Tents, and Sails",Used clothes & textile articles,Textiles,0.0,0.0,0.18059719577867497,0.2075966349251091,-0.0,-0.920526179128945,0.13368730812613194,0.2035918371026661,1.388270687341774,1.3633681173944483
6307,Other Cloth Articles,Used clothes & textile articles,Textiles,0.0,0.0,0.693212899463497,0.19280824943072492,-0.0,-1.4754306735614844,0.7837217387310672,0.19476083292559815,0.9041919163375489,0.39800767858352604
6308,Packaged Sewing Sets,Used clothes & textile articles,Textiles,0.0,0.0,0.12532114723953072,0.21531865729642927,0.0,0.17281823687221642,0.075188153743632,0.197056033394988,1.0300052213879214,1.4869848261925935
6309,Used Clothing,Used clothes & textile articles,Textiles,0.0,0.0,0.07730980102961897,0.21931408250272139,-0.0,-0.7633268338622541,0.013074536098046772,0.20134325018123234,1.2650125423337137,1.5841982110946535
6310,Textile Scraps,Used clothes & textile articles,Textiles,0.0,0.0,0.6289072966480527,0.20086732469557403,-0.0,-1.1339551553307607,0.6943580523497882,0.1988620304796884,1.1290024397868423,0.5120063861972861
6401,Waterproof Footwear,Footwear,Footwear and Headwear,0.0,0.0,0.27671307661260414,0.2091208659017344,-0.0,-0.7702520424892043,0.24817417651498105,0.20476115836006528,1.4523679956253321,1.1686387532463156
6402,Rubber Footwear,Footwear,Footwear and Headwear,0.0,0.0,0.1071880419996861,0.20254966672732463,-0.0,-1.2256219008077065,0.05497793328483077,0.19574197035454652,0.9579737729949039,1.5274355616645119
6403,Leather Footwear,Footwear,Footwear and Headwear,0.0,0.0,0.384705393719693,0.1986021842105255,-0.0,-0.7741354542576764,0.3893151494940129,0.1984563909659342,1.1067669755800893,0.9646313851735497
