hs4,code_trade,product_name,hs2_code,hs2_name,section
1515,1515,Other Pure Vegetable Oils,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1516,1516,Other Vegetable Oils,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1517,1517,Margarine,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1518,1518,Inedible Fats and Oils,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1519,1519,Stearic Acid,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1520,1520,Glycerol,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1521,1521,Vegetable waxes and beeswax,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1522,1522,Fat and Oil Residues,15,"Animal or vegetable fats, oils, & waxes",Animal and Vegetable Bi-Products
1601,1601,Sausages,16,"Preparations of fish, crustacenas, & molluscs",Foodstuffs
1602,1602,Other Prepared Meat,16,"Preparations of fish, crustacenas, & molluscs",Foodstuffs
1603,1603,Animal Extracts,16,"Preparations of fish, crustacenas, & molluscs",Foodstuffs
1604,1604,Processed Fish,16,"Preparations of fish, crustacenas, & molluscs",Foodstuffs
1605,1605,Processed Crustaceans,16,"Preparations of fish, crustacenas, & molluscs",Foodstuffs
1701,1701,Raw Sugar,17,Sugars & confectioneries,Foodstuffs
1702,1702,Other Sugars,17,Sugars & confectioneries,Foodstuffs
1703,1703,Molasses,17,Sugars & confectioneries,Foodstuffs
1704,1704,Confectionery Sugar,17,Sugars & confectioneries,Foodstuffs
1801,1801,Cocoa Beans,18,Cocoa & cocoa preparations,Foodstuffs
1802,1802,Cocoa Shells,18,Cocoa & cocoa preparations,Foodstuffs
1803,1803,Cocoa Paste,18,Cocoa & cocoa preparations,Foodstuffs
1804,1804,Cocoa Butter,18,Cocoa & cocoa preparations,Foodstuffs
1805,1805,Cocoa Powder,18,Cocoa & cocoa preparations,Foodstuffs
1806,1806,Chocolate,18,Cocoa & cocoa preparations,Foodstuffs
