Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BLR,,0.484067773,0.403831796,0.732106689,0.595356435,0.569378894,0.538896849,0.622311692,0.731424137,0.818070037,0.826301649,0.806064217,0.884405993,0.84744497,0.839380861,0.850464832,0.90783419,0.835666545,0.84306207,0.812463812,0.83974576,0.729921475,0.710670665,0.78731805,0.789766039,0.826453369,0.806433421,0.781596588
BEL,,,,,1.252676757,1.229871107,1.296777053,1.299288033,1.223415818,1.211076431,1.120757433,1.067786707,1.112822531,1.067577493,1.093098396,1.147570669,1.163272573,1.196331006,1.248117699,1.227460243,1.258217549,1.23265842,1.226867519,1.19191889,1.195724103,1.144901211,1.169395553,1.059905855
BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.670367985,-0.570817337
BOL,,,,,,-0.556758105,-0.544378203,-0.856223042,-0.886024871,-0.850937728,-1.098942801,-0.917791471,-0.842520129,-0.630965149,-0.708234467,-0.80991707,-0.964727785,-0.590578629,-0.650344442,-0.644202211,-0.983883761,-1.045737004,-1.09609862,-1.114977426,-1.039275467,-1.051205168,-1.082751947,-0.985813093
BIH,,,,,,,,,,,0.348159985,0.243741268,0.357466275,0.400776249,0.420948568,0.361819879,0.409045702,0.3547021,0.357660335,0.387678245,0.359943625,0.444772564,0.359146979,0.427270287,0.49996831,0.548048638,0.582510043,0.565818414
BWA,,,,,,,-0.541338287,-0.546464156,-0.499772634,-0.682810054,-0.904873634,-1.071588405,-0.925121928,-0.869921529,-0.561229256,-0.403757669,-0.491699615,-0.569059078,-0.358634491,-0.386620971,-0.545387302,-0.741980299,-0.592977181,-0.740851164,-0.629836844,-0.724742684,-0.808727367,-0.62687655
BRA,0.532028656,0.550158722,0.566948754,0.644075231,0.649410188,0.665912914,0.615446423,0.548579972,0.602264063,0.608346143,0.541396952,0.589676462,0.654423865,0.564159449,0.501997713,0.493362598,0.397346278,0.5369017,0.45645186,0.469620962,0.443785905,0.34674171,0.363287366,0.358565693,0.320436092,0.216424322,0.108263894,0.095466164
BGR,0.146327046,0.147953519,0.144129261,0.284443108,0.169846527,0.166866331,0.201414507,0.228102666,0.169514473,0.22186073,0.218191676,0.251665221,0.388139674,0.425139778,0.382044537,0.423510801,0.438072623,0.460561127,0.582125572,0.590001095,0.588464456,0.549483172,0.499166481,0.532553776,0.524084899,0.521563152,0.594236113,0.703512865
BFA,,,,,,,,,,,,,,,,,-1.132420143,-1.204250595,-1.448679433,-1.368423085,-1.342291639,-1.398796435,-1.527214733,-1.562182768,-1.654750344,-1.506294578,-1.405472412,-1.72427868
MMR,,,,,,,-1.409031345,-1.373979249,-1.470483742,-1.370133328,-1.397366096,-1.382681289,-1.233930332,-1.164966606,-1.205625806,-1.420755191,-1.367328323,-1.30961868,-1.118563428,-1.05759717,-1.112797736,-1.096171069,-1.018442967,-0.870961064,-0.919204307,-0.910281341,-0.774313038,-0.630103101
KHM,,,,,,,-1.384393707,-1.354853632,-1.497818198,-1.458692131,-1.335765586,-1.413168576,-1.129680556,-0.975981144,-0.975794779,-0.993111625,-0.899514631,-0.921825618,-0.997943462,-0.685821026,-0.48394529,-0.551437216,-0.478569125,-0.463072047,-0.54885923,-0.569327046,-0.618923279,-0.421087418
CMR,-0.977222118,-1.072053214,-1.12099036,-1.294378551,-1.427163873,-1.767634799,-1.570744836,-1.280484736,-1.134693445,-1.127963004,-1.510631513,-1.479423538,-1.226376545,-1.098492858,-0.989509774,-0.936146242,-0.818284461,-0.962837268,-0.836371099,-0.866128466,-0.678016633,-0.599181807,-0.909259312,-1.014494504,-1.144442124,-1.127802205,-1.170793012,-1.00141013
CAN,0.984809051,0.85843793,0.930442884,0.935738762,0.914261179,0.855628594,0.864027875,0.831815337,0.768629582,0.778145951,0.742116051,0.702725959,0.650546855,0.563823816,0.531650621,0.482576996,0.547679503,0.564486781,0.601883724,0.623138369,0.550996288,0.497069034,0.526226152,0.53112884,0.537829183,0.542007237,0.476364388,0.516311089
TCD,,,,,,,,,,,,-2.130240013,-2.684277345,-3.191162225,-2.985979104,-0.708922539,-0.536053545,-1.396415787,-2.780322546,-2.502264066,-2.114271986,-1.96262302,-1.954018179,-2.551153818,,-2.325291067,-1.752484851,-2.038906296
CHL,-0.330821511,-0.339353374,-0.341483174,-0.133670844,-0.159525895,-0.116686088,-0.073341612,-0.192838157,-0.247378923,-0.231704831,-0.299147409,-0.299639909,-0.211883729,-0.212174245,-0.339161194,-0.464913601,-0.367143531,-0.272617706,-0.221156253,-0.153047754,-0.207207943,-0.304572313,-0.279686176,-0.245876251,-0.336387294,-0.298984283,-0.306819351,-0.28551228
CHN,-0.080915154,0.008605043,0.043241632,0.05481252,0.014099586,0.155698129,0.269556629,0.278907687,0.337537601,0.386625115,0.529652271,0.583264242,0.737075976,0.874117796,0.945133489,1.016489661,1.121492896,1.161701085,1.127878548,1.15160968,1.186847448,1.144066435,1.152735975,1.187670513,1.200620471,1.189864151,1.235303365,1.251918342
