Country,Year,GDP_pc
PHL,2002,1837.25429286854
PNG,2002,1854.41831737462
POL,2002,7640.99307757777
PRT,2002,19095.1102477398
PRY,2002,3916.44022308731
QAT,2002,52752.6445826427
ROU,2002,5248.54994632668
RUS,2002,5910.171875
SAU,2002,20025.4319998275
SDN,2002,1185.21533203125
SEN,2002,1042.25509944289
SGP,2002,34598.8267483781
SLV,2002,3016.06307728602
SRB,2002,4038.65251197442
SVK,2002,9690.68468262889
SVN,2002,17099.658209132
SWE,2002,42831.7584103774
TCD,2002,600.171451974641
TGO,2002,675.440797960321
THA,2002,3783.75422073266
TKM,2002,2266.6336625636
TUN,2002,2950.20410959054
TUR,2002,6211.70542960394
TZA,2002,598.421569824219
UGA,2002,547.405338919875
UKR,2002,1644.28125
URY,2002,9806.7713064359
USA,2002,48729.1586442625
UZB,2002,1341.95995981671
VEN,2002,3398.56849937324
VNM,2002,1340.51670460271
YEM,2002,2148.88860494788
ZAF,2002,4916.81498068625
ZMB,2002,833.021177549004
ZWE,2002,1525.07935706564
AGO,2003,2403.40415157038
ALB,2003,2428.68934653563
ARE,2003,53619.1925678774
ARG,2003,9545.53194119994
ARM,2003,1759.64684829386
AUS,2003,48509.6632180363
AUT,2003,39569.2885567329
AZE,2003,1949.60608417331
BEL,2003,36826.2699296094
BEN,2003,896.146763201736
BFA,2003,468.263047790124
BGD,2003,676.826252046427
BGR,2003,4519.18439177056
BIH,2003,2855.68314939849
BLR,2003,3137.26261430575
BOL,2003,2050.07133411879
BRA,2003,6941.43965883253
BWA,2003,5320.440295139
CAN,2003,39270.0234577749
CHE,2003,73254.9529864219
CHL,2003,9130.7842621819
CHN,2003,2857.0373538115
CIV,2003,1441.58801755037
CMR,2003,1221.09446141454
COD,2003,329.709536540469
COG,2003,2058.88683675038
COL,2003,4154.17528523618
CRI,2003,8207.45746763047
CUB,2003,4426.96599591833
CZE,2003,13618.9349633164
DEU,2003,35270.0227284267
DNK,2003,49708.0909084109
DOM,2003,4162.66686117661
DZA,2003,3945.89816094007
ECU,2003,4220.21298466638
EGY,2003,2524.80477192682
ESP,2003,25481.1653690112
ETH,2003,243.076666020009
FIN,2003,40038.9839702277
FRA,2003,33840.6175720101
GAB,2003,7301.67154442842
GBR,2003,41706.8303930126
GEO,2003,1977.46143338741
GHA,2003,1077.69990866645
GIN,2003,644.071217908894
GRC,2003,20632.2557041942
GTM,2003,3222.15468293683
HKG,2003,28097.108881817
HND,2003,1842.29750018813
HRV,2003,10619.3078243865
HUN,2003,10253.723920764
IDN,2003,1991.91820506473
IND,2003,841.278894571674
IRL,2003,46594.8620267616
IRN,2003,4511.43134034458
IRQ,2003,2250.06990123369
ISR,2003,28092.6176251486
ITA,2003,33110.1698494812
JAM,2003,5467.17406988236
JOR,2003,3713.15193593268
JPN,2003,31830.217584972
KAZ,2003,5724.43199248054
KEN,2003,1169.14433674051
KGZ,2003,786.350474964134
KHM,2003,719.333494240509
